index,captum,captum_correction
1,0.01934,0.01934
3,0.03461,0.03461
5,0.01827,0.01737
6,0.1071,0.1071
7,0.07492,0.07492
8,0.009047,0.009047
10,0.05063,0.05063
11,0.04259,0.04259
12,0.01028,0.009919
16,0.08177,0.08734
21,0.002432,0.00237
23,0.2122,0.2122
27,0.06225,0.05021
28,0.1662,0.1662
29,0.07871,0.07871
30,0.06746,0.07394
34,0.1509,0.1731
38,0.05454,0.04753
39,0.05773,0.05812
40,0.08386,0.08386
41,0.03271,0.03271
45,0.1986,0.1986
48,0.06119,0.06001
50,0.06654,0.07262
51,0.02998,0.02829
53,0.02541,0.02541
54,0.06983,0.06983
55,0.07139,0.06987
56,0.05549,0.05549
60,0.04195,0.04165
61,0.1143,0.1143
62,0.07086,0.07086
65,0.01558,0.01558
67,0.06285,0.0606
68,0.06786,0.06786
71,0.00863,0.009034
72,0.04493,0.04493
73,0.0943,0.0943
74,0.05865,0.05367
76,0.141,0.141
79,0.1101,0.1101
80,0.003206,0.003559
81,0.02789,0.0284
82,0.1191,0.1191
83,0.008857,0.008857
84,0.0009785,0.0009785
86,0.03224,0.03571
88,0.1343,0.1389
89,0.05455,0.05466
90,0.1378,0.1378
92,0.06045,0.05764
93,0.06805,0.07134
94,0.01487,0.01487
97,0.01322,0.01224
98,0.02989,0.02983
99,0.1568,0.1216
102,0.1165,0.1141
103,0.1096,0.1096
104,0.05228,0.05228
105,0.3212,0.2894
107,0.04263,0.04088
109,0.04867,0.04867
111,0.0446,0.0446
113,0.005958,0.005792
116,0.1662,0.1551
118,0.0446,0.0446
121,0.01913,0.01913
122,0.03648,0.03648
123,0.009118,0.009031
124,0.05071,0.04514
126,0.02281,0.02344
130,0.05409,0.0574
131,0.1399,0.1395
132,0.05709,0.05709
133,0.1927,0.1862
134,0.05684,0.05684
136,0.1554,0.08309
137,0.1294,0.1316
138,0.02885,0.02885
140,0.02067,0.02099
141,0.2659,0.2659
142,0.01601,0.01581
143,0.03369,0.03369
144,0.04582,0.04582
152,0.01333,0.01352
153,0.02163,0.02163
155,0.04024,0.0386
157,0.04731,0.0488
158,0.005973,0.006288
159,0.05241,0.05241
160,0.00661,0.00707
161,0.01959,0.01887
163,0.03637,0.03686
166,0.1274,0.04683
170,0.05537,0.05361
172,0.04047,0.04047
174,0.04391,0.04391
175,0.05493,0.05493
176,0.02833,0.03684
177,0.007041,0.00707
